Probe	Chromosome	Position	Feature	SampleA	SampleB
CHR0100P003256032	1	3256032	Xkr4	12.447325696202904	0.987212162384714
CHR0100P004880520	1	4880520	ENSMUSG00000033813	16.55486790863338	0.8020198870709437
CHR0100P009978741	1	9978741	4930418G15Rik	1.4413550098918588	23.135594650472893
CHR0100P010016606	1	10016606	Cops5	1.3861879689244527	46.4305392094776
CHR0100P010115174	1	10115174	Cspp1	1.314144670346484	30.397361018743528
CHR0100P010184883	1	10184883	Arfgef1	14.865659563571741	1.2370808175587702
CHR0100P010632833	1	10632833	Cpa6	8.596798325807686	0.48968621284959996
CHR0100P011263995	1	11263995	Depdc2	12.891034843115557	1.012985590988536
CHR0100P012106464	1	12106464	ENSMUSG00000058598	0.5626848716909145	6.33376347714775
CHR0100P012842680	1	12842680	Sulf1	13.19329898998953	0.9466728772621109
CHR0100P012893784	1	12893784	Slco5a1	0.9935777521865218	11.991892551691388
CHR0100P013162300	1	13162300	Ncoa2	13.99504372127965	1.2778283081696773
CHR0100P013273308	1	13273308	Ncoa2	0.29278975746129654	18.013853889173287
CHR0100P013289031	1	13289031	Ncoa2	1.4750666222303224	16.88561760225123
CHR0100P013297436	1	13297436	Ncoa2	18.395588275153205	1.3746894850989522
CHR0100P013320757	1	13320757	Ncoa2	1.2305581243056194	32.4163009342729
CHR0100P013567072	1	13567072	Tram1	15.675577164991397	0.6408088309854341
CHR0100P015821349	1	15821349	Terf1	11.396999297063484	1.3364775609049213
CHR0100P016078730	1	16078730	4930444P10Rik	1.0548565913715935	10.431401129450443
CHR0100P016088647	1	16088647	Rpl7	10.633326789744972	0.3227318743503059
CHR0100P016224573	1	16224573	Stau2	1.1175659606079495	16.35718490093044
CHR0100P016548284	1	16548284	Ube2w	0.6365771897596024	8.427551873722377
CHR0100P016572325	1	16572325	Ube2w	0.8730419399405462	18.659434556354793
CHR0100P016588679	1	16588679	Ube2w	1.2113545915569723	29.14537770726202
CHR0100P016649341	1	16649341	ENSMUSG00000044232	38.61849686097894	1.055744648702962
CHR0100P017073255	1	17073255	Jph1	37.35906397890095	0.557671899765791
CHR0100P019122855	1	19122855	Tcfap2d	0.46724899787998847	4.979541539742502
CHR0100P019229569	1	19229569	ENSMUSG00000060361	1.3512448361211788	16.166408008983456
CHR0100P020312332	1	20312332	Pkhd1	0.9619041745743376	18.969466188994474
CHR0100P020797243	1	20797243	Mcm3	1.6635583138354373	15.653951393802178
CHR0100P020965431	1	20965431	Efhc1	36.50538422530911	0.9752309574267253
CHR0100P021204208	1	21204208	Tmem14a	35.213033034911135	0.7986413786942923
CHR0100P021518189	1	21518189	Kcnq5	10.30577979561874	0.4192566383796075
CHR0100P021530868	1	21530868	Kcnq5	0.7095333577844564	8.631355278649083
CHR0100P022292051	1	22292051	Rims1	28.444083332399497	1.2945349129277952
CHR0100P023870012	1	23870012	Smap1	18.185748960110395	0.6515103653574805
CHR0100P024183915	1	24183915	Col9a1	7.13351676421539	0.7069208372331468
CHR0100P024279924	1	24279924	Col19a1	20.67666724254248	1.0027966581256844
CHR0100P024323556	1	24323556	Col19a1	0.6370576803113646	36.446831225306084
CHR0100P024538355	1	24538355	Col19a1	17.116182253965885	1.1580622600835893
CHR0100P025286506	1	25286506	Bai3	1.467829716952388	13.013905586780162
CHR0100P025724042	1	25724042	Bai3	1.0241889146325986	8.871411302531
CHR0100P032462337	1	32462337	Khdrbs2	0.22360755874291316	14.61650414922077
CHR0100P033416183	1	33416183	Prim2	0.8767873432015346	22.561682907778227
CHR0100P033441613	1	33441613	Prim2	12.888529107793277	1.4407217486786255
CHR0100P033572320	1	33572320	Prim2	1.154930985508791	14.814237182081458
CHR0100P033588579	1	33588579	Prim2	0.8554158353454225	12.60141453133556
CHR0100P033607149	1	33607149	Prim2	1.3827307279825942	18.346381678043212
CHR0100P033678903	1	33678903	Rab23	20.043737957697914	1.0122622337146927
CHR0100P033746019	1	33746019	Zfp451	15.185689767357117	1.1850149229543854
CHR0100P033746206	1	33746206	Zfp451	9.785634464534779	1.0901737250205752
CHR0100P033824133	1	33824133	B230209C24Rik	0.40274634312603896	7.412959159403181
CHR0100P033855083	1	33855083	Dst	1.2569712031958595	39.149908160641914
CHR0100P034184089	1	34184089	Dst	15.005781028276026	0.21536146348575727
CHR0100P034483520	1	34483520	Cfc1	1.3143400182572256	26.28686959986227
CHR0100P034756145	1	34756145	Arhgef4	0.44043729043789487	4.19460137489792
